Seconds, SoC(%), Amps, GearMode, Odometer(miles), Trip(miles), Speed(mph), Contr. Temp (C), SideStand (1/0)
155.48035,99,1.9,POWER,122.436295,25.108763,36.451214,24,0
155.491,99,1.9,POWER,122.436295,25.108763,36.451214,24,0
155.50131,99,1.9,POWER,122.436295,25.108763,36.451214,24,0
155.512,99,1.9,POWER,122.436295,25.108763,36.451214,24,0
155.52231,99,1.9,POWER,122.436295,25.108763,36.451214,24,0
155.536,99,1.9,POWER,122.436295,25.108763,36.451214,24,0
155.54631,99,1.9,POWER,122.436295,25.108763,36.451214,24,0
155.55699,99,1.9,POWER,122.436295,25.108763,36.451214,24,0
155.56732,99,1.9,POWER,122.436295,25.108763,36.451214,24,0
155.578,99,1.9,POWER,122.436295,25.108763,36.451214,24,0
155.58832,99,1.9,POWER,122.436295,25.108763,36.451214,24,0
155.599,99,1.9,POWER,122.436295,25.108763,36.451214,24,0
155.60934,99,1.9,POWER,122.436295,25.108763,36.451214,24,0
155.62,99,1.9,POWER,122.436295,25.108763,36.451214,24,0
155.63031,99,1.9,POWER,122.436295,25.108763,36.451214,24,0
155.64099,99,1.9,POWER,122.436295,25.108763,36.451214,24,0
