Seconds, SoC(%), Amps, GearMode, Odometer(miles), Trip(miles), Speed(mph), Contr. Temp (C), SideStand (1/0), %SoCPPM, AvgPPM, BATVolts, BATWatts, WH/MI, AVG WH/MI, AVG MPH LOG, 0x67, 0x101_D2
15.865053,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.876,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.886047,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.899,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.909055,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.92,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.931,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.941053,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.952,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.962003,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.973,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.983003,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.994,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
16.004002,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
16.015,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
16.025047,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
16.036,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
16.046043,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
16.057,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
16.069344,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
16.08,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
16.091,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
16.101015,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
16.112,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
16.121971,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
16.133009,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
16.14303,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
16.154,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
16.16397,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
16.175009,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
